isocode,year,CKON,GKON,IKON,EXPK,IMPK,CCUR,GCUR,ICUR,EXPC,IMPC,XRAT,POP
MLT,yr1963,,,,,,35700000,8400000,11000000,25700000,32600000,0.357143015,318820
MLT,yr1964,,,,,,37400000,8600000,13200000,27200000,37200000,0.357143015,318990
MLT,yr1965,,,,,,39100000,9100000,13500000,28400000,37400000,0.357143015,320000
MLT,yr1966,,,,,,41900000,9700000,15300000,33400000,41500000,0.357143015,321430
MLT,yr1967,,,,,,45900000,11200000,18600000,33400000,45400000,0.362103313,322940
MLT,yr1968,,,,,,53200000,12200000,23000000,40800000,57900000,0.416667014,324290
MLT,yr1969,,,,,,63900000,13700000,26800000,46600000,69000000,0.416667014,325330
MLT,yr1970,,,,,,73800000,18400000,31000000,47100000,75500000,0.416667014,326000
MLT,yr1971,,,,,,75100000,19500000,28400000,50000000,75200000,0.407107502,323660
MLT,yr1972,,,,,,80400000,19800000,25500000,53500000,77000000,0.381576687,322280
MLT,yr1973,,,,,,90100000,22800000,25600000,75300000,98000000,0.368796706,322380
MLT,yr1974,,,,,,107000000,26900000,35700000,110400000,148400000,0.385481685,324250
MLT,yr1975,,,,,,118700000,30500000,39000000,137300000,159700000,0.384783298,328000
MLT,yr1976,,,,,,135700000,35900000,56000000,172700000,196600000,0.425135791,334000
MLT,yr1977,,,,,,172400000,39700000,62300000,207400000,242000000,0.42230919,342930
MLT,yr1978,,,,,,186400000,46100000,65100000,229600000,249500000,0.385383308,352790
MLT,yr1979,,,,,,206000032,53700000,83000000,290800096,307700000,0.358469993,360450
MLT,yr1980,,,,,,253499968,63400000,96500000,356600096,378000096,0.345426708,364000
MLT,yr1981,,,,,,279399968,75400000,118200000,355899904,392399904,0.386700809,364260
MLT,yr1982,,,,,,305799840,85200000,145600000,319800096,394600192,0.412142485,361840
MLT,yr1983,,,,,,306700064,82300000,137100000,307600096,376100096,0.432449192,357150
MLT,yr1984,,,,,,317499872,80300000,133300000,323500000,393499904,0.461034209,350880
MLT,yr1985,,,,,,333199904,84300000,133800000,345199904,420500000,0.469155014,344000
MLT,yr1986,,,,,,343399968,89500000,130500000,370200096,421699808,0.392992496,345000
MLT,yr1987,,,,,,351199936,98200000,151100000,429600000,480899808,0.345491707,346000
MLT,yr1988,,,,,,387600128,105200000,174600000,480000000,540899776,0.330856711,347400
MLT,yr1989,,,,,,425499872,119600000,198300000,543500032,616800000,0.348492503,350800
MLT,yr1990,,,,,,460899808,129200000,245300000,626400000,726899968,0.317790002,354200
MLT,yr1991,,,,,,494500000,147100000,254700000,701900032,791200000,0.323242486,357700
MLT,yr1992,,,,,,531400000,164300000,241000000,804099968,866000000,0.318923295,361300
MLT,yr1993,,,,,,561500032,188900000,280500000,896300032,987200000,0.38228929,364700
MLT,yr1994,608200000,209500000,315400000,994400000,1099000064,608200000,209500000,315400000,994400000,1099000064,0.377921104,368000
MLT,yr1995,700400000,235200000,366400000,1074700032,1231200000,700400000,235200000,366400000,1074700032,1231200000,0.353058785,371000
MLT,yr1996,764700032,259800000,343900000,1045699968,1212800000,764700032,259800000,343900000,1045699968,1212800000,0.3604559,373000
MLT,yr1997,803500032,264100000,329400000,1095800064,1204600064,803500032,264100000,329400000,1095800064,1204600064,0.385966092,383000
MLT,yr1998,841299968,269500000,310100000,1192899968,1265699968,846700032,269000000,322900000,1194700032,1270300032,0.388459504,385000
MLT,yr1999,,,,,,914700032,272600000,349700000,1321299968,1402200064,0.398898393,388000
MLT,yr2000,,,,,,996200000,291000000,434800000,1608899968,1771000064,0.438240409,390000
MMR,yr1950,,,4059619534,2419843416,7155252125,3410000000,511000000,264000000,671000000,891000000,4.762,18354421.93
MMR,yr1951,,,7070957288,3222840782,6871172636,3870000000,507000000,430000000,941000000,1250000000,4.761,18653678.82
MMR,yr1952,,,10037792514,3331353940,10173596694,4070000000,629000000,622000000,1060000000,1470000000,4.763,19052688
MMR,yr1953,,,13400205770,3255394729,10635225863,3960000000,803000000,825000000,1240000000,1670000000,4.762,19451697.18
MMR,yr1954,,,14240809084,3374759203,13014391582,4400000000,970000000,917000000,1030000000,1910000000,4.762,19750954.08
MMR,yr1955,,,13350758516,4318823674,11540729234,4440000000,997000000,885000000,1070000000,1770000000,4.762,20149963.27
